Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Risk,Purpose
44,male,skilled,own,little,little,1478,15,0,furniture/equipment
23,female,unskilled_and_non-resident,own,little,moderate,3573,12,0,radio/TV
26,male,skilled,own,little,moderate,1201,24,0,car
57,female,skilled,rent,rich,little,3622,30,0,furniture/equipment
30,female,skilled,own,rich,moderate,960,15,0,furniture/equipment
44,male,skilled,own,quite rich,moderate,1163,12,0,car
47,male,highly skilled,own,little,moderate,1209,6,1,car
52,male,skilled,own,little,little,3077,12,0,radio/TV
62,female,skilled,free,little,little,3757,24,0,car
35,male,unskilled_and_non-resident,rent,moderate,moderate,1418,10,0,car
26,male,skilled,rent,little,little,3518,6,0,car
26,male,skilled,own,little,little,1934,12,0,radio/TV
42,female,highly skilled,free,little,moderate,8318,27,1,business
27,female,skilled,own,moderate,moderate,1237,6,0,radio/TV
38,male,skilled,own,little,moderate,368,6,0,radio/TV
39,male,unskilled_and_non-resident,rent,little,little,2122,12,0,car
20,male,skilled,own,little,little,2996,24,1,furniture/equipment
29,male,highly skilled,rent,moderate,moderate,9034,36,1,furniture/equipment
40,male,skilled,own,little,little,1585,24,0,furniture/equipment
32,male,unskilled_and_non-resident,own,little,moderate,1301,18,0,radio/TV
28,male,skilled,own,moderate,rich,1323,6,0,car
27,female,skilled,own,little,little,3123,24,1,car
42,male,skilled,free,little,little,5493,36,0,car
49,male,skilled,own,moderate,rich,1126,9,0,radio/TV
38,male,skilled,own,moderate,moderate,1216,24,1,radio/TV
24,female,skilled,rent,little,little,1207,24,1,car
27,male,unskilled_and_non-resident,own,little,moderate,1309,10,1,car
36,male,skilled,own,quite rich,rich,2360,15,0,car
34,male,highly skilled,own,moderate,moderate,6850,15,1,car
28,male,skilled,own,little,little,1413,24,0,radio/TV
45,male,highly skilled,own,moderate,moderate,8588,39,0,car
26,male,skilled,own,little,little,759,12,1,car
32,male,highly skilled,free,little,little,4686,36,0,car
26,male,skilled,rent,little,rich,2687,15,0,business
20,male,skilled,rent,little,moderate,585,12,0,radio/TV
54,male,skilled,own,little,moderate,2255,24,0,car
37,female,skilled,own,little,little,609,6,0,car
40,male,unskilled_and_non-resident,own,little,little,1361,6,0,car
23,female,skilled,rent,little,little,7127,36,1,furniture/equipment
43,male,skilled,own,moderate,little,1203,6,0,car
36,male,skilled,free,little,moderate,700,6,0,radio/TV
44,male,skilled,free,little,little,5507,24,0,repairs
24,female,skilled,own,little,little,3190,18,1,radio/TV
53,male,skilled,free,little,little,7119,48,1,furniture/equipment
23,female,skilled,own,moderate,moderate,3488,24,0,car
26,female,unskilled_and_non-resident,own,little,moderate,1113,18,0,radio/TV
30,male,skilled,own,little,moderate,7966,26,0,car
31,female,skilled,own,moderate,moderate,1532,15,0,education
42,male,unskilled_and_non-resident,own,little,little,1503,4,0,radio/TV
31,male,skilled,rent,little,little,2302,36,1,radio/TV
41,male,unskilled_and_non-resident,own,little,little,662,6,0,car
32,male,skilled,own,little,moderate,2273,36,0,education
28,female,skilled,rent,moderate,moderate,2631,15,1,car
41,male,skilled,rent,little,little,1503,12,0,car
26,male,skilled,own,moderate,moderate,1311,24,0,radio/TV
25,male,skilled,own,little,moderate,3105,24,0,radio/TV
33,male,skilled,rent,little,rich,2319,21,1,education
75,female,highly skilled,own,little,little,1374,6,0,car
37,female,skilled,own,little,moderate,3612,18,0,furniture/equipment
42,male,highly skilled,free,little,little,7763,48,1,car
45,female,unskilled_and_non-resident,own,little,rich,3049,18,0,furniture/equipment
23,male,skilled,rent,little,moderate,1534,12,1,radio/TV
60,male,skilled,free,little,little,2032,24,0,car
31,male,skilled,own,little,little,6350,30,1,furniture/equipment
34,male,unskilled_and_non-resident,own,little,rich,2864,18,1,furniture/equipment
61,male,unskilled_and_non-resident,own,little,little,1255,12,0,car
43,male,skilled,free,little,little,1333,24,1,car
37,female,skilled,own,little,little,2022,24,0,car
32,male,skilled,own,little,little,1552,24,0,radio/TV
24,female,unskilled_and_non-resident,own,little,little,626,12,1,radio/TV
35,male,skilled,free,little,moderate,8858,48,0,car
23,female,skilled,own,little,moderate,996,12,0,repairs
45,male,unskilled_and_non-resident,own,quite rich,moderate,1750,6,0,radio/TV
34,male,skilled,own,little,little,6999,48,1,radio/TV
27,male,skilled,own,moderate,moderate,1995,12,0,car
67,female,highly skilled,own,little,moderate,1199,9,0,education
22,male,skilled,own,little,moderate,1331,12,1,radio/TV
28,female,skilled,own,moderate,moderate,2278,18,1,car
29,female,skilled,own,little,moderate,5003,21,1,car
27,male,skilled,own,little,little,3552,24,1,furniture/equipment
31,male,unskilled_and_non-resident,own,little,moderate,1928,18,1,furniture/equipment
49,male,skilled,free,little,little,2964,24,0,car
24,male,unskilled_and_non-resident,rent,little,little,1546,24,1,radio/TV
29,female,skilled,own,little,rich,683,6,0,radio/TV
37,male,skilled,free,little,moderate,12389,36,1,car
37,male,highly skilled,own,little,moderate,4712,24,0,business
23,female,skilled,rent,moderate,moderate,1553,24,0,radio/TV
36,male,skilled,own,little,little,1372,12,1,car
34,male,skilled,own,rich,moderate,2578,24,0,radio/TV
41,male,skilled,own,little,moderate,3979,48,0,radio/TV
31,female,skilled,own,little,little,6758,48,1,radio/TV
23,female,unskilled_and_non-resident,rent,little,little,3234,24,1,furniture/equipment
38,male,skilled,own,little,little,5954,30,0,radio/TV
26,female,highly skilled,rent,little,moderate,5433,24,0,car
22,female,unskilled_and_non-resident,own,little,little,806,15,0,business
27,male,unskilled_and_non-resident,own,little,moderate,1082,9,0,radio/TV
24,female,skilled,own,little,little,2788,15,0,furniture/equipment
27,female,skilled,own,little,moderate,2930,12,0,radio/TV
33,female,skilled,own,little,moderate,1927,24,0,education
27,male,skilled,own,little,moderate,2820,36,1,car
27,male,unskilled_and_non-resident,own,little,little,937,24,0,education
30,male,skilled,own,little,moderate,1056,18,1,car
49,male,unskilled_and_non-resident,own,little,moderate,3124,12,0,car
26,female,skilled,rent,little,little,1388,9,0,furniture/equipment
33,male,unskilled_and_non-resident,rent,little,moderate,2384,36,1,repairs
52,female,highly skilled,free,little,moderate,2133,12,0,car
20,female,skilled,rent,little,little,2039,18,1,furniture/equipment
36,male,skilled,rent,little,little,2799,9,0,car
21,male,unskilled_and_non-resident,own,little,little,1289,12,0,furniture/equipment
47,male,unskilled_and_non-resident,own,little,little,1217,18,1,domestic appliances
60,male,skilled,own,little,little,2246,12,1,furniture/equipment
58,female,unskilled_and_non-resident,own,little,little,385,12,0,radio/TV
42,female,skilled,rent,little,moderate,1965,24,0,car
36,female,unskilled_and_non-resident,own,rich,moderate,1572,21,0,business
20,female,unskilled_and_non-resident,rent,little,moderate,2718,24,1,car
40,male,highly skilled,own,little,little,1358,24,1,vacation/others
32,female,unskilled_and_non-resident,own,moderate,moderate,931,6,1,car
23,female,skilled,rent,little,little,1442,24,1,car
36,male,unskilled_and_non-resident,own,little,moderate,4241,24,1,business
31,male,skilled,own,little,little,2775,18,1,car
32,male,skilled,free,little,little,3863,24,0,business
45,female,skilled,own,little,moderate,2329,7,0,radio/TV
30,female,skilled,own,little,moderate,918,9,1,furniture/equipment
34,female,unskilled_and_non-resident,free,little,moderate,1837,24,1,education
28,female,highly skilled,own,little,little,3349,36,1,furniture/equipment
23,female,skilled,own,little,rich,1275,10,0,furniture/equipment
22,male,skilled,own,quite rich,little,2828,24,0,furniture/equipment
74,male,highly skilled,own,little,little,4526,24,0,business
50,female,skilled,free,moderate,moderate,2671,36,1,radio/TV
33,male,skilled,own,little,little,2051,18,0,radio/TV
45,male,skilled,free,little,moderate,1300,15,0,car
22,female,skilled,own,moderate,little,741,12,1,domestic appliances
48,female,unskilled_and_non-resident,free,moderate,rich,1240,10,1,car
29,female,skilled,own,rich,little,3357,21,0,radio/TV
22,female,skilled,rent,little,little,3632,24,0,car
22,female,skilled,own,little,little,1808,18,1,furniture/equipment
48,male,highly skilled,own,little,moderate,12204,48,0,business
27,male,highly skilled,free,little,moderate,9157,60,0,radio/TV
37,male,skilled,rent,little,little,3676,6,0,car
21,female,skilled,rent,moderate,moderate,3441,30,1,furniture/equipment
49,male,unskilled_and_non-resident,own,little,little,640,12,0,car
27,male,skilled,own,little,moderate,3652,21,0,business
32,male,skilled,own,little,little,1530,18,1,car
38,male,skilled,own,little,moderate,3914,48,1,business
22,female,skilled,rent,little,little,1858,12,0,furniture/equipment
65,male,skilled,free,little,little,2600,18,1,radio/TV
35,male,skilled,own,little,moderate,1979,15,0,radio/TV
41,male,skilled,own,little,rich,2116,6,0,furniture/equipment
29,male,skilled,own,moderate,moderate,1437,9,1,car
36,male,skilled,own,quite rich,moderate,4042,42,0,furniture/equipment
64,male,unskilled_and_non-resident,own,little,moderate,3832,9,0,education
28,female,skilled,own,little,little,3660,24,0,radio/TV
44,male,skilled,own,little,little,1553,18,1,furniture/equipment
23,male,skilled,own,little,moderate,1444,15,0,radio/TV
19,female,skilled,rent,little,little,1980,9,1,furniture/equipment
25,female,unskilled_and_non-resident,own,little,moderate,1355,24,1,car
47,male,skilled,own,little,little,1393,12,0,education
28,female,skilled,own,quite rich,moderate,1376,24,0,radio/TV
21,male,skilled,own,little,little,15653,60,0,radio/TV
34,female,skilled,own,little,little,1493,12,0,radio/TV
26,male,skilled,own,little,little,4370,42,1,radio/TV
27,female,unskilled_and_non-resident,own,little,little,750,18,1,education
38,male,unskilled_and_non-resident,own,little,moderate,1308,15,0,repairs
40,male,highly skilled,own,moderate,moderate,4623,15,1,education
33,male,skilled,own,little,little,1851,24,0,radio/TV
32,male,highly skilled,own,little,little,1880,18,0,radio/TV
27,male,skilled,rent,little,moderate,7980,36,1,business
32,male,skilled,own,little,little,4583,30,0,furniture/equipment
26,female,skilled,own,quite rich,moderate,1386,12,1,car
38,male,skilled,free,little,rich,947,24,1,car
40,male,unskilled_and_non-resident,rent,little,little,684,12,1,education
50,male,highly skilled,free,little,little,7476,48,0,education
37,male,unskilled_and_non-resident,own,little,moderate,1922,12,1,furniture/equipment
45,male,skilled,own,little,little,2303,24,1,car
42,male,highly skilled,own,moderate,moderate,8086,36,1,car
35,male,skilled,own,little,little,2346,24,0,car
22,male,skilled,free,little,little,3973,14,0,car
41,male,unskilled_and_non-resident,own,little,moderate,888,12,1,car
37,male,skilled,own,little,moderate,10222,48,0,radio/TV
28,female,skilled,own,little,moderate,4221,30,0,business
41,male,skilled,own,little,moderate,6361,18,0,furniture/equipment
23,male,skilled,rent,little,rich,1297,12,0,radio/TV
23,male,skilled,own,little,little,900,12,1,car
50,male,skilled,own,little,little,2241,21,0,furniture/equipment
35,male,highly skilled,own,little,moderate,1050,6,0,furniture/equipment
50,female,unskilled_and_non-resident,own,little,rich,1047,6,0,education
27,male,highly skilled,own,little,little,6314,24,0,vacation/others
34,male,skilled,own,rich,moderate,3496,30,0,furniture/equipment
27,female,skilled,own,little,little,3609,48,0,business
43,male,skilled,rent,little,little,4843,12,1,car
47,male,skilled,own,little,rich,3017,30,0,radio/TV
27,male,unskilled_and_non-resident,own,moderate,moderate,4139,24,0,business
31,male,skilled,own,moderate,moderate,5742,36,0,business
42,male,highly skilled,own,little,little,10366,60,0,car
24,male,skilled,own,quite rich,moderate,2080,6,0,car
41,male,unskilled_and_non-resident,own,quite rich,moderate,2580,21,1,business
26,female,highly skilled,rent,little,little,4530,30,0,radio/TV
33,male,skilled,own,little,little,5150,24,0,furniture/equipment
24,male,skilled,own,moderate,moderate,5595,72,1,radio/TV
64,male,unskilled_and_non-resident,rent,little,little,2384,24,0,radio/TV
26,female,skilled,own,little,little,1453,18,0,radio/TV
56,female,skilled,own,little,little,1538,6,0,education
37,male,skilled,free,little,moderate,2279,12,0,radio/TV
33,male,skilled,own,little,little,1478,15,0,radio/TV
47,male,skilled,free,little,little,5103,24,0,radio/TV
31,male,unskilled_and_non-resident,own,moderate,moderate,9857,36,0,business
34,male,skilled,free,little,moderate,6527,60,0,car
27,male,skilled,own,little,rich,1347,10,0,radio/TV
30,male,skilled,free,moderate,moderate,2862,36,0,car
35,male,skilled,own,moderate,moderate,2753,9,0,radio/TV
31,male,skilled,own,rich,little,3651,12,0,car
25,male,skilled,own,little,little,975,15,0,furniture/equipment
25,female,unskilled_and_non-resident,own,moderate,moderate,2631,15,0,repairs
29,male,skilled,own,moderate,moderate,2896,24,0,radio/TV
44,male,unskilled_and_non-resident,own,little,little,4716,6,0,car
28,male,skilled,own,little,little,2284,24,0,radio/TV
50,male,skilled,rent,quite rich,moderate,1236,6,0,car
29,male,skilled,own,little,moderate,1103,12,0,radio/TV
38,female,unskilled_and_non-resident,own,little,little,926,12,0,car
24,male,skilled,own,little,little,1800,18,0,radio/TV
40,male,highly skilled,rent,little,rich,1905,15,0,education
29,female,unskilled_and_non-resident,rent,quite rich,moderate,1123,12,1,furniture/equipment
46,male,skilled,free,little,little,6331,48,1,car
47,female,skilled,free,moderate,rich,1377,24,0,radio/TV
41,male,skilled,own,moderate,moderate,2503,30,0,business
32,female,skilled,own,little,moderate,2528,27,0,business
35,female,skilled,free,quite rich,moderate,5324,15,0,car
24,male,skilled,own,moderate,moderate,6560,48,1,car
25,female,skilled,rent,little,moderate,2969,12,1,furniture/equipment
25,female,skilled,own,little,moderate,1206,9,0,radio/TV
37,male,unskilled_and_non-resident,own,little,moderate,2118,9,0,radio/TV
32,male,highly skilled,own,quite rich,moderate,629,18,0,radio/TV
35,female,skilled,free,little,little,1198,6,1,education
46,male,highly skilled,own,little,moderate,2476,21,0,car
25,male,unskilled_and_non-resident,own,little,little,1138,9,0,radio/TV
27,male,highly skilled,own,little,moderate,14027,60,1,car
63,male,skilled,own,little,moderate,7596,30,0,car
40,male,skilled,own,little,moderate,3077,30,0,radio/TV
32,male,highly skilled,free,little,little,1505,18,0,radio/TV
31,male,skilled,own,little,rich,3148,24,0,radio/TV
31,male,skilled,own,moderate,moderate,6148,20,0,car
34,male,highly skilled,own,little,rich,1337,9,1,radio/TV
24,female,skilled,rent,rich,moderate,433,6,1,education
24,female,unskilled_and_non-resident,own,little,little,1228,12,1,car
66,female,unskilled_and_non-resident,own,quite rich,moderate,790,9,0,radio/TV
21,female,skilled,rent,little,little,2570,27,1,car
41,female,unskilled_and_non-resident,own,rich,moderate,250,6,0,car
47,male,unskilled_and_non-resident,own,quite rich,moderate,1316,15,0,radio/TV
25,female,skilled,rent,little,little,1882,18,1,radio/TV
59,female,skilled,rent,little,moderate,6416,48,1,business
36,male,skilled,own,rich,rich,1275,24,0,business
33,male,skilled,own,little,moderate,6403,24,0,radio/TV
21,male,unskilled_and_non-resident,rent,little,little,1987,24,1,radio/TV
44,female,unskilled_and_non-resident,own,little,moderate,760,8,0,radio/TV
28,female,skilled,rent,rich,moderate,2603,24,0,car
37,female,skilled,own,little,little,3380,4,0,car
29,female,unskilled_and_non-resident,own,little,moderate,3990,36,0,domestic appliances
23,female,highly skilled,rent,little,moderate,11560,24,1,car
35,male,unskilled_and_non-resident,own,moderate,little,4380,18,0,car
45,male,highly skilled,own,little,little,6761,6,0,car
26,female,unskilled_and_non-resident,rent,moderate,moderate,4280,30,1,business
32,male,skilled,own,moderate,little,2325,24,0,car
23,male,unskilled_and_non-resident,own,little,moderate,1048,10,0,radio/TV
41,male,skilled,own,little,moderate,3160,21,0,radio/TV
22,male,skilled,own,quite rich,little,2483,24,0,furniture/equipment
30,male,highly skilled,own,little,little,14179,39,0,furniture/equipment
28,male,unskilled_and_non-resident,own,little,little,1797,13,0,business
23,female,skilled,rent,little,little,2511,15,0,car
37,female,unskilled_and_non-resident,own,little,little,1274,12,1,car
26,male,skilled,own,little,moderate,5248,21,0,car
33,male,skilled,own,little,little,3029,15,0,car
49,female,skilled,own,little,little,428,6,0,furniture/equipment
23,female,unskilled_and_non-resident,own,little,little,976,18,1,car
23,female,unskilled_and_non-resident,rent,moderate,moderate,841,12,0,business
25,female,skilled,own,little,little,5771,30,0,radio/TV
55,male,skilled,free,rich,moderate,1555,12,1,repairs
32,female,skilled,rent,little,little,1285,24,1,car
74,male,unskilled_and_non-resident,own,little,rich,1299,6,0,car
39,male,skilled,free,little,rich,1271,15,1,radio/TV
31,male,skilled,own,little,little,1393,24,0,car
35,male,skilled,own,little,little,691,12,1,car
59,female,skilled,own,little,moderate,5045,15,0,car
24,female,skilled,rent,little,little,2124,18,1,furniture/equipment
24,male,unskilled_and_non-resident,own,little,little,2214,12,0,radio/TV
30,male,highly skilled,free,little,moderate,12680,21,1,car
27,male,skilled,own,moderate,moderate,2463,24,0,car
40,male,unskilled_and_non-resident,own,little,moderate,1155,12,0,radio/TV
31,male,unskilled_and_non-resident,own,little,little,3108,30,1,furniture/equipment
31,female,skilled,rent,little,moderate,2901,10,0,car
28,male,skilled,rent,little,moderate,3617,12,0,furniture/equipment
63,male,unskilled_and_non-resident,own,little,little,1655,12,0,radio/TV
26,female,skilled,rent,little,little,2812,24,0,car
25,female,highly skilled,own,little,little,8065,36,1,education
36,male,highly skilled,own,little,little,3275,21,0,car
52,male,skilled,own,moderate,moderate,2223,24,0,radio/TV
66,male,unskilled_and_non-resident,free,quite rich,rich,1480,12,0,car
25,female,skilled,rent,little,little,1371,24,1,car
37,male,skilled,own,little,little,3535,36,0,car
25,female,skilled,own,little,little,3509,18,0,radio/TV
38,male,highly skilled,own,rich,moderate,5711,36,0,car
67,female,skilled,own,little,moderate,3872,18,0,repairs
25,male,skilled,own,little,moderate,4933,39,1,radio/TV
60,male,skilled,own,rich,moderate,1940,24,0,car
31,male,unskilled_and_non-resident,own,little,moderate,1410,12,0,education
23,female,unskilled_and_non-resident,own,moderate,moderate,836,12,1,car
60,male,highly skilled,own,little,moderate,6468,20,0,car
35,male,unskilled_and_non-resident,own,rich,moderate,1941,18,0,business
40,male,skilled,own,quite rich,moderate,2675,22,0,radio/TV
38,male,skilled,own,little,moderate,2751,48,0,car
50,male,skilled,free,little,moderate,6224,48,1,education
27,male,skilled,own,little,little,5998,40,1,education
39,female,skilled,own,little,moderate,1188,21,1,business
41,male,highly skilled,own,little,moderate,6313,24,0,car
27,male,skilled,own,little,moderate,1221,6,0,furniture/equipment
51,male,skilled,free,little,rich,2892,24,0,furniture/equipment
32,male,skilled,rent,quite rich,moderate,3062,24,0,furniture/equipment
22,female,skilled,rent,moderate,moderate,2301,9,0,furniture/equipment
51,male,skilled,free,little,little,7511,18,1,car
22,female,unskilled_and_non-resident,rent,little,little,1258,12,0,furniture/equipment
54,male,skilled,own,little,moderate,717,24,0,car
35,male,unskilled_and_non-resident,own,little,moderate,1549,9,0,car
54,male,skilled,free,little,little,1597,24,0,education
48,female,unskilled_and_non-resident,rent,little,moderate,1795,18,0,radio/TV
24,female,skilled,own,little,little,4272,20,0,furniture/equipment
35,male,skilled,own,little,moderate,976,12,0,radio/TV
24,female,unskilled_and_non-resident,rent,little,moderate,7472,12,0,car
24,male,skilled,own,little,little,9271,36,1,car
26,male,unskilled_and_non-resident,own,little,moderate,590,6,0,radio/TV
65,male,skilled,own,little,moderate,930,12,0,radio/TV
55,male,highly skilled,free,little,moderate,9283,42,0,car
26,female,unskilled_and_non-resident,rent,little,moderate,1778,15,1,car
26,male,skilled,own,little,moderate,907,8,0,business
28,male,unskilled_and_non-resident,own,little,moderate,484,6,0,radio/TV
24,male,skilled,own,little,little,9629,36,1,car
54,male,skilled,own,little,little,3051,48,1,domestic appliances
46,male,skilled,free,little,little,3931,48,1,car
54,female,skilled,rent,little,moderate,7432,36,0,car
62,male,skilled,own,quite rich,moderate,1338,6,0,domestic appliances
24,female,skilled,rent,little,little,1554,6,0,radio/TV
43,male,highly skilled,own,little,little,15857,36,0,vacation/others
26,male,skilled,own,little,little,1345,18,1,radio/TV
27,male,skilled,own,little,little,1101,12,0,car
24,male,skilled,own,little,rich,3016,12,0,radio/TV
41,male,skilled,own,little,little,2712,36,1,furniture/equipment
47,male,unskilled_and_non-resident,own,little,little,731,8,0,car
35,male,highly skilled,own,little,little,3780,18,0,furniture/equipment
30,male,skilled,own,little,little,1602,21,0,car
33,female,skilled,rent,little,little,3966,18,1,car
36,male,skilled,own,little,little,4165,18,1,business
47,male,skilled,free,little,little,8335,36,1,car
38,male,skilled,free,little,moderate,6681,48,0,business
44,male,skilled,own,quite rich,moderate,2375,24,0,business
23,female,skilled,rent,little,little,1216,18,1,car
29,male,skilled,rent,little,little,11816,45,1,business
42,female,skilled,own,little,moderate,5084,24,0,radio/TV
25,female,unskilled_and_non-resident,own,little,rich,2327,15,1,radio/TV
48,male,skilled,own,little,little,1082,12,1,car
21,female,skilled,own,little,moderate,886,12,0,radio/TV
23,female,unskilled_and_non-resident,rent,little,little,601,4,0,furniture/equipment
63,male,skilled,own,little,little,2957,24,0,car
46,male,skilled,own,little,little,2611,24,0,radio/TV
29,male,skilled,own,little,little,5179,36,1,furniture/equipment
28,male,unskilled_and_non-resident,own,little,little,2993,21,0,car
23,female,skilled,own,little,little,1943,18,1,repairs
50,male,skilled,own,little,little,1559,24,0,business
47,male,skilled,own,little,little,3422,18,0,furniture/equipment
35,male,skilled,own,little,moderate,3976,21,0,furniture/equipment
68,male,skilled,rent,little,moderate,6761,18,1,car
28,male,skilled,own,little,little,1249,24,0,car
59,male,skilled,own,little,little,1364,9,0,radio/TV
57,male,unskilled_and_non-resident,own,little,little,709,12,1,radio/TV
33,male,skilled,rent,little,little,2235,20,1,car
43,male,skilled,own,little,moderate,4042,24,0,car
35,male,skilled,free,little,little,1471,15,0,radio/TV
32,male,unskilled_and_non-resident,free,little,little,1442,18,1,car
45,male,skilled,own,little,little,10875,36,0,car
33,male,skilled,own,moderate,moderate,1474,24,0,car
40,female,skilled,own,little,moderate,894,10,0,education
28,male,skilled,free,little,little,3343,15,0,furniture/equipment
29,female,skilled,own,little,little,3959,15,1,car
26,male,skilled,rent,moderate,moderate,3577,9,0,car
27,male,skilled,own,rich,moderate,5804,24,0,car
28,male,skilled,own,little,little,2169,18,1,business
35,female,skilled,own,little,little,2439,24,1,radio/TV
32,male,unskilled_and_non-resident,own,rich,moderate,4526,27,0,furniture/equipment
25,male,unskilled_and_non-resident,rent,little,little,2210,10,1,furniture/equipment
20,female,skilled,rent,quite rich,moderate,2221,15,0,furniture/equipment
27,female,skilled,own,little,little,2389,18,0,radio/TV
42,male,skilled,own,little,little,3331,12,0,furniture/equipment
37,male,skilled,own,little,moderate,7409,36,0,business
24,female,skilled,rent,little,little,652,12,0,furniture/equipment
40,female,skilled,own,quite rich,moderate,7678,36,0,furniture/equipment
46,male,skilled,own,little,rich,1343,6,0,car
26,male,skilled,own,moderate,little,1382,24,0,business
24,female,skilled,own,little,moderate,874,15,0,domestic appliances
29,male,unskilled_and_non-resident,own,little,little,3590,12,0,furniture/equipment
40,female,skilled,own,rich,moderate,1322,11,0,car
36,male,highly skilled,free,little,little,1940,18,0,radio/TV
28,male,skilled,own,little,little,3595,36,0,radio/TV
27,male,highly skilled,free,little,little,1422,9,1,car
36,male,skilled,own,little,moderate,6742,30,0,radio/TV
38,male,highly skilled,own,little,little,7814,24,0,car
48,male,skilled,free,little,moderate,9277,24,0,car
36,male,skilled,own,little,moderate,2181,30,0,car
65,female,unskilled_and_non-resident,own,little,little,1098,18,0,radio/TV
43,male,skilled,own,little,moderate,4057,24,1,furniture/equipment
53,female,skilled,own,little,little,795,12,1,education
34,male,skilled,own,little,moderate,2825,24,0,business
23,male,skilled,own,little,moderate,15672,48,1,business
34,male,highly skilled,own,little,little,6614,36,0,car
40,male,skilled,rent,little,moderate,7824,28,0,car
43,male,highly skilled,own,little,little,2442,27,0,business
46,male,skilled,own,little,little,1829,15,0,radio/TV
38,male,unskilled_and_non-resident,own,little,little,2171,12,0,car
34,male,skilled,own,little,moderate,5800,36,0,car
29,male,skilled,own,little,moderate,1169,18,0,radio/TV
31,male,highly skilled,own,little,moderate,8947,36,0,car
28,female,highly skilled,rent,little,little,2606,21,0,radio/TV
35,female,skilled,own,rich,moderate,1592,12,0,furniture/equipment
33,female,unskilled_and_non-resident,rent,little,moderate,2186,15,0,furniture/equipment
42,male,skilled,own,little,little,4153,18,1,furniture/equipment
43,male,skilled,rent,little,little,2625,16,1,car
44,male,skilled,own,little,moderate,3485,20,0,car
42,male,skilled,free,little,moderate,10477,36,0,car
40,male,skilled,rent,little,moderate,1386,15,0,radio/TV
36,male,highly skilled,own,little,little,1278,24,0,radio/TV
20,male,highly skilled,rent,little,little,1107,12,0,radio/TV
24,male,unskilled_and_non-resident,own,little,little,3763,21,0,car
27,male,skilled,own,little,moderate,3711,36,0,education
46,female,unskilled_and_non-resident,own,little,little,3594,15,0,car
33,female,unskilled_and_non-resident,own,little,moderate,3195,9,0,car
34,female,skilled,own,little,little,4454,36,0,radio/TV
25,female,unskilled_and_non-resident,own,little,moderate,4736,24,1,furniture/equipment
25,female,skilled,own,little,moderate,2991,30,0,radio/TV
28,male,skilled,own,rich,moderate,2142,11,0,business
31,male,skilled,rent,little,little,3161,24,1,business
32,female,highly skilled,own,little,moderate,18424,48,1,vacation/others
32,male,skilled,own,moderate,moderate,2848,10,0,car
68,male,highly skilled,own,little,little,14896,6,1,car
33,male,skilled,own,moderate,little,2359,24,1,furniture/equipment
39,male,highly skilled,rent,little,little,3345,24,1,furniture/equipment
28,female,skilled,own,little,little,1817,18,0,furniture/equipment
37,male,highly skilled,own,quite rich,moderate,12749,48,0,radio/TV
22,female,skilled,rent,little,little,1366,9,1,radio/TV
30,male,skilled,rent,little,moderate,2002,12,0,car
55,male,skilled,own,little,little,6872,24,1,furniture/equipment
46,male,skilled,own,little,little,697,12,1,car
21,female,skilled,rent,little,little,1049,18,0,furniture/equipment
39,male,skilled,free,little,little,10297,48,1,car
58,male,skilled,own,little,moderate,1867,30,0,radio/TV
43,male,unskilled_and_non-resident,own,little,little,1344,12,0,car
24,male,unskilled_and_non-resident,own,little,little,1747,24,0,furniture/equipment
22,female,skilled,own,little,moderate,1670,9,1,radio/TV
30,male,skilled,own,little,little,1224,9,0,car
42,male,skilled,own,quite rich,moderate,522,12,0,radio/TV
23,female,skilled,own,little,little,1498,12,0,radio/TV
30,male,highly skilled,own,moderate,moderate,1919,30,1,radio/TV
28,female,unskilled_and_non-resident,own,little,rich,745,9,1,radio/TV
30,male,highly skilled,rent,little,moderate,2063,6,0,radio/TV
42,male,skilled,free,little,moderate,6288,60,1,education
46,male,highly skilled,own,little,moderate,6842,24,0,car
45,male,highly skilled,own,little,moderate,3527,12,0,car
31,male,unskilled_and_non-resident,own,little,little,1546,10,0,car
31,male,skilled,own,little,moderate,929,24,0,furniture/equipment
42,male,unskilled_and_non-resident,own,little,little,1455,4,0,car
46,female,skilled,rent,little,little,1845,15,0,furniture/equipment
30,female,skilled,own,quite rich,moderate,8358,48,0,car
30,male,skilled,free,quite rich,little,3349,24,1,furniture/equipment
38,male,highly skilled,own,little,moderate,2859,12,0,car
43,male,unskilled_and_non-resident,own,little,little,1533,18,1,furniture/equipment
31,male,skilled,own,moderate,moderate,3621,24,1,radio/TV
40,male,unskilled_and_non-resident,own,little,moderate,3590,18,0,business
24,male,skilled,own,little,little,2145,36,1,business
28,female,skilled,rent,quite rich,moderate,4113,24,1,car
26,female,highly skilled,own,little,little,10974,36,1,furniture/equipment
29,female,skilled,own,little,little,1893,12,0,car
57,female,highly skilled,rent,rich,little,1231,24,0,radio/TV
49,male,unskilled_and_non-resident,own,little,rich,3656,30,0,radio/TV
37,male,unskilled_and_non-resident,own,little,moderate,1154,9,0,radio/TV
45,male,unskilled_and_non-resident,own,little,little,4006,28,1,car
30,male,skilled,free,moderate,moderate,3069,24,0,furniture/equipment
30,male,skilled,rent,little,little,1740,6,0,radio/TV
47,male,skilled,own,little,moderate,2353,21,0,car
29,male,skilled,own,little,moderate,3556,15,0,car
